,date,id,geometry,dis,ac_dis,lon,lat,time,u10,v10,t2m,skt,slhf,sshf,ssrd,strd,tp,d2m,sp,Time,t2m_i,skt_i,slhf_,sshf_,ssrd_,strd_,slhf_i,sshf_i,ssrd_i,strd_i,tp_,tp_i,v10_i,u10_i,d2m_i,sp_i
699,2021-03-23 12:00:00,10320,POINT Z (9.95216 3.96407 0),1.042021701,4959.518224,9.95216,3.96407,01:16.5,1.1525020599365234,0.298566609621048,305.3989562988281,306.1600036621094,-5364124.5,-2952701.0,12543203.0,17977584.0,1.1626559171418194e-05,295.1332092285156,100267.1640625,2021-03-23 12:00:00,305.3989562988281,306.1600036621094,-5364124.5,-2952701.0,12543203.0,17977584.0,-376.0784027777778,-274.7681597222222,891.1277777777777,427.7502777777778,1.1626559171418194e-05,2.3245811462402344e-06,0.298566609621048,1.1525020599365234,295.1332092285156,100267.1640625
700,2021-03-23 13:00:00,10353,POINT Z (10.0388 3.94791 0),0.930124113,4969.969283,10.0388,3.94791,02:20.8,1.630804181098938,0.5923994779586792,305.5548400878906,306.5301513671875,-6896925.0,-3714817.0,15988222.0,19488530.0,2.325691639271099e-05,295.6927185058594,100252.0234375,2021-03-23 13:00:00,305.5548400878906,306.5301513671875,-6896925.0,-3714817.0,15988222.0,19488530.0,-425.77791666666667,-211.6988888888889,956.9497222222222,419.70722222222224,2.325691639271099e-05,1.1630357221292797e-05,0.5923994779586792,1.630804181098938,295.6927185058594,100252.0234375
701,2021-03-23 14:00:00,10388,POINT Z (10.07476 3.86612 0),1.244824973,4980.311605,10.07476,3.86612,02:46.9,1.5163198709487915,0.8739252686500549,304.24951171875,305.7381591796875,-7073660.5,-5128638.5,18700230.0,20989630.0,0.00014418728824239224,295.21649169921875,99554.0,2021-03-23 14:00:00,304.24951171875,305.7381591796875,-7073660.5,-5128638.5,18700230.0,20989630.0,-49.09319444444444,-392.72819444444445,753.3355555555555,416.97222222222223,0.00014418728824239224,0.00012093037184968125,0.8739252686500549,1.5163198709487915,295.21649169921875,99554.0
702,2021-03-23 15:00:00,10422,POINT Z (10.12815 3.80455 0),0.209812641,4990.285093,10.12815,3.80455,01:03.8,1.6330057382583618,1.5451771020889282,303.9935607910156,304.33843994140625,-8549731.0,-4644530.5,20875392.0,22513316.0,0.0002558193518780172,295.6190490722656,99916.2578125,2021-03-23 15:00:00,303.9935607910156,304.33843994140625,-8549731.0,-4644530.5,20875392.0,22513316.0,-410.01958333333334,134.47444444444446,604.2116666666667,423.24611111111113,0.0002558193518780172,0.00011163206363562495,1.5451771020889282,1.6330057382583618,295.6190490722656,99916.2578125
703,2021-03-23 16:00:00,10458,POINT Z (10.11002 3.72495 0),1.793532728,5000.98935,10.11002,3.72495,03:36.8,2.1410298347473145,1.0149445533752441,302.8301696777344,303.46240234375,-8863382.0,-6168196.5,22315374.0,24029472.0,0.00043721863767132163,295.8785095214844,100011.9609375,2021-03-23 16:00:00,302.8301696777344,303.46240234375,-8863382.0,-6168196.5,22315374.0,24029472.0,-87.12527777777778,-423.24055555555555,399.995,421.15444444444444,0.00043721863767132163,0.00018139928579330444,1.0149445533752441,2.1410298347473145,295.8785095214844,100011.9609375
704,2021-03-23 17:00:00,10477,POINT Z (10.11582 3.622269999999999 0),2.873558204,5012.665486,10.11582,3.62227,11:50.7,1.7414356470108032,1.3918507099151611,301.4457092285156,302.1111755371094,-8739013.0,-6671554.5,23161656.0,25501616.0,0.0006325728609226644,296.1336975097656,100225.53125,2021-03-23 17:00:00,301.4457092285156,302.1111755371094,-8739013.0,-6671554.5,23161656.0,25501616.0,34.54694444444444,-139.82166666666666,235.07833333333335,408.9288888888889,0.0006325728609226644,0.00019535422325134277,1.3918507099151611,1.7414356470108032,296.1336975097656,100225.53125
705,2021-03-23 18:00:00,10507,POINT Z (10.11508 3.55524 0),0.108190877,5020.97211,10.11508,3.55524,00:23.1,1.4998077154159546,1.4636423587799072,300.3381652832031,300.90380859375,-8801198.0,-6558879.5,23198112.0,27006770.0,0.0006325728609226644,296.1582336425781,100330.421875,2021-03-23 18:00:00,300.3381652832031,300.90380859375,-8801198.0,-6558879.5,23198112.0,27006770.0,-17.273611111111112,31.29861111111111,10.126666666666667,418.09833333333336,0.0006325728609226644,0.0,1.4636423587799072,1.4998077154159546,296.1582336425781,100330.421875
706,2021-03-23 19:00:00,10536,POINT Z (10.13402 3.47272 0),0.244451214,5031.342959,10.13402,3.47272,00:59.2,1.2658854722976685,1.5544074773788452,299.5540466308594,299.78045654296875,-10780201.0,-4394266.5,23547040.0,28459222.0,0.000732574553694576,295.8486022949219,100462.890625,2021-03-23 19:00:00,299.5540466308594,299.78045654296875,-10780201.0,-4394266.5,23547040.0,28459222.0,-549.7230555555556,601.2813888888888,96.92444444444445,403.4588888888889,0.000732574553694576,0.00010000169277191162,1.5544074773788452,1.2658854722976685,295.8486022949219,100462.890625
707,2021-03-23 20:00:00,10567,POINT Z (10.10798 3.38645 0),0.658014686,5041.780672,10.10798,3.38645,01:58.9,1.2653350830078125,1.6056872606277466,299.1003112792969,299.260009765625,-10774746.0,-4803068.5,23827832.0,29913412.0,0.0007348991348408163,295.8251037597656,100300.1484375,2021-03-23 20:00:00,299.1003112792969,299.260009765625,-10774746.0,-4803068.5,23827832.0,29913412.0,1.5152777777777777,-113.55611111111111,77.99777777777778,403.94166666666666,0.0007348991348408163,2.3245811462402344e-06,1.6056872606277466,1.2653350830078125,295.8251037597656,100300.1484375
708,2021-03-23 21:00:00,10607,POINT Z (10.08331 3.30239 0),0.259896235,5051.91212,10.08331,3.30239,01:11.1,0.9004165530204773,1.7092722654342651,298.7571105957031,298.7541198730469,-10855477.0,-5389660.5,24071300.0,31356020.0,0.0007604844286106527,295.6350402832031,100129.2890625,2021-03-23 21:00:00,298.7571105957031,298.7541198730469,-10855477.0,-5389660.5,24071300.0,31356020.0,-22.42527777777778,-162.94222222222223,67.63,400.72444444444443,0.0007604844286106527,2.5585293769836426e-05,1.7092722654342651,0.9004165530204773,295.6350402832031,100129.2890625
